original_filename,Label,tag
---j12rm3WI_000014_000024.mp4,123|81|75|258,industry|engineering|electronics|technology
--5kVeU1uco_000046_000056.mp4,214,rock
--5urtlw6gs_000049_000059.mp4,113|220|149,hairstyle|selfie|male
--65_UAU7ao_000000_000010.mp4,194,physical_fitness
--6XapylEsA_000046_000056.mp4,122|104,indoor_games_and_sports|games
--9N3YdTOIM_39.0_41.0.mp4,192|193|237|122|104,performance|performing_arts|sport|indoor_games_and_sports|games
--9N3YdTOIM_80.0_82.0.mp4,192|193|237|83|122|104|257,performance|performing_arts|sport|entertainment|indoor_games_and_sports|games|team_sport
--9zAxIOlbo_000008_000018.mp4,83|139,entertainment|lighting
--AC9Wionlg_000000_000010.mp4,170,mode_of_transport
--CNAjJZhNY_000009_000019.mp4,38,close_up
--E8kQc4oeE_000281_000291.mp4,113,hairstyle
--EZD1uEVhM_000062_000072.mp4,113|220,hairstyle|selfie
--GEr5-PyTI_000000_000010.mp4,122|104|63,indoor_games_and_sports|games|design
--GaSxELz-8_000039_000049.mp4,38,close_up
--H6ZFJXDq4_6.5_8.5.mp4,192|83,performance|entertainment
--JBrgsW5UI_26.5_28.5.mp4,237|122|104,sport|indoor_games_and_sports|games
--LrHkjbax8_000001_000011.mp4,38,close_up
--NL-GP04Ls_179.5_181.5.mp4,191,people
--O2qCO6zBI_000025_000035.mp4,221|258,service|technology
--O4p15yejk_000350_000360.mp4,58|272|210,cuisine|vegetarian_food|recipe
--QG-bjOFSA_000000_000010.mp4,191|149,people|male
--RN6XH2x8k_141.0_143.0.mp4,58|210,cuisine|recipe
--SSk3r84yw_000000_000010.mp4,198|209|126,plaster|real_estate|interior_design
--TgcS0No3k_000001_000011.mp4,169|272|58|210,mixture|vegetarian_food|cuisine|recipe
--U3pqp_C5g_000120_000130.mp4,194,physical_fitness
--VtCsmlD18_000047_000057.mp4,104,games
--YKMD5LYtw_000073_000083.mp4,8|125|38|58,animal_source_foods|interaction|close_up|cuisine
--YXAAC0WWA_000035_000045.mp4,120|63,human_behavior|design
--Z5dqN2hKY_81.5_83.5.mp4,279,water_sport
--_-T3-Qvg4_34.5_36.5.mp4,104|83,games|entertainment
--_-T3-Qvg4_60.0_62.0.mp4,139,lighting
--_3Wbv-1YY_000319_000329.mp4,104,games
